(27.00000, 9.00000, 0.00000), (28.45375, 6.88266, 7.24114)
(28.00000, 8.00000, 0.00000), (29.26577, 6.20594, 7.89233)
(26.00000, 8.00000, 0.00000), (27.27716, 6.33631, 7.93188)
(29.00000, 7.00000, 0.00000), (30.04746, 5.56276, 8.37348)
(25.00000, 7.00000, 0.00000), (26.11461, 5.79674, 8.49761)
(30.00000, 6.00000, 0.00000), (30.77804, 4.92953, 8.71040)
(24.00000, 6.00000, 0.00000), (24.96823, 5.21700, 8.95937)
(31.00000, 5.00000, 0.00000), (31.44900, 4.27827, 8.91378)
(23.00000, 5.00000, 0.00000), (23.84583, 4.54475, 9.30519)
(32.00000, 4.00000, 0.00000), (32.05998, 3.57888, 8.98323)
(22.00000, 4.00000, 0.00000), (22.75536, 3.76424, 9.53000)
(33.00000, 3.00000, 0.00000), (32.61903, 2.80465, 8.90831)
(21.00000, 3.00000, 0.00000), (21.68723, 2.90045, 9.66722)
(34.00000, 2.00000, 0.00000), (33.16114, 1.94089, 8.66978)
(20.00000, 2.00000, 0.00000), (20.63539, 1.97154, 9.73233)
(35.00000, 1.00000, 0.00000), (33.73159, 0.99369, 8.23711)
(19.00000, 1.00000, 0.00000), (19.60154, 0.99693, 9.73113)
(36.00000, 0.00000, 0.00000), (34.36139, 0.00000, 7.60011)
(35.00000, -1.00000, 0.00000), (33.73159, -0.99369, 8.23711)
(34.00000, -2.00000, 0.00000), (33.16114, -1.94089, 8.66978)
(33.00000, -3.00000, 0.00000), (32.61903, -2.80465, 8.90831)
(32.00000, -4.00000, 0.00000), (32.05998, -3.57888, 8.98323)
(31.00000, -5.00000, 0.00000), (31.44900, -4.27827, 8.91378)
(30.00000, -6.00000, 0.00000), (30.77804, -4.92953, 8.71040)
(29.00000, -7.00000, 0.00000), (30.04746, -5.56276, 8.37348)
(28.00000, -8.00000, 0.00000), (29.26577, -6.20594, 7.89233)
(27.00000, -9.00000, 0.00000), (28.45375, -6.88266, 7.24114)
(26.00000, -8.00000, 0.00000), (27.27716, -6.33631, 7.93188)
(25.00000, -7.00000, 0.00000), (26.11461, -5.79674, 8.49761)
(24.00000, -6.00000, 0.00000), (24.96823, -5.21700, 8.95937)
(23.00000, -5.00000, 0.00000), (23.84583, -4.54475, 9.30519)
(22.00000, -4.00000, 0.00000), (22.75536, -3.76424, 9.53000)
(21.00000, -3.00000, 0.00000), (21.68723, -2.90045, 9.66722)
(20.00000, -2.00000, 0.00000), (20.63539, -1.97154, 9.73233)
(19.00000, -1.00000, 0.00000), (19.60154, -0.99693, 9.73113)
(18.00000, 0.00000, 0.00000), (18.58933, 0.00000, 9.68081)
(27.00000, 10.00000, 0.00000), (28.63574, 7.50866, 6.48285)
(28.00000, 9.00000, 0.00000), (29.44871, 6.84737, 7.14728)
(26.00000, 9.00000, 0.00000), (27.45964, 6.97478, 7.18418)
(29.00000, 8.00000, 0.00000), (30.23360, 6.21760, 7.64099)
(25.00000, 8.00000, 0.00000), (26.29804, 6.45163, 7.76449)
(30.00000, 7.00000, 0.00000), (30.96849, 5.59101, 7.98503)
(24.00000, 7.00000, 0.00000), (25.15055, 5.90133, 8.25335)
(31.00000, 6.00000, 0.00000), (31.64133, 4.95857, 8.20653)
(23.00000, 6.00000, 0.00000), (24.01690, 5.28917, 8.65976)
(32.00000, 5.00000, 0.00000), (32.25457, 4.30322, 8.32181)
(22.00000, 5.00000, 0.00000), (22.90452, 4.57875, 8.96937)
(33.00000, 4.00000, 0.00000), (32.81779, 3.59662, 8.33100)
(21.00000, 4.00000, 0.00000), (21.81163, 3.77551, 9.19946)
(34.00000, 3.00000, 0.00000), (33.33985, 2.81350, 8.21524)
(20.00000, 3.00000, 0.00000), (20.72901, 2.90319, 9.38122)
(35.00000, 2.00000, 0.00000), (33.85243, 1.94309, 7.94720)
(19.00000, 2.00000, 0.00000), (19.65960, 1.97127, 9.51363)
(36.00000, 1.00000, 0.00000), (34.40575, 0.99384, 7.49852)
